,genes
0,JCHAIN
1,HBB
2,HBA2
3,HBA1
4,IGKC
5,IGHA1
6,IGHA2
7,S100A8
8,IGLC2
9,IGLC3
10,IGHM
11,IGKV3-20
12,PRB3
13,PPBP
14,IGHG1
15,TPSB2
16,IGHG2
17,S100A9
18,IGHV3-23
19,IGKV1-5
20,IGKV3-11
21,IGLV2-14
22,IGHV3-30
23,IGKV4-1
24,TPSAB1
25,IGHV4-39
26,PF4
27,APOE
28,IGHV4-59
29,CLC
30,IGKV3-15
31,IGLV3-21
32,CCL18
33,IGHV3-21
34,IGHV3-7
35,IGLV2-23
36,IGHV4-31
37,IGHG3
38,IGHV5-51
39,IGHV3-74
40,IGHV1-2
41,IGLV2-8
42,IGKV1-9
43,IGHV3-33
44,IGLV1-40
45,IGLL5
46,IGLV1-44
47,IGKV1-39
48,IGLV2-11
49,IGHV1-18
50,IGHV3-48
51,RNASE1
52,HBG2
53,HBD
54,IGKV1-17
55,IGKV1D-13
56,IGLV3-1
57,IGKV1-8
58,IGKV2D-28
59,CXCL8
60,CA1
61,IGHV4-61
62,IGLV3-19
63,APOC1
64,IGLV3-25
65,IL1B
66,IGKV1-6
67,IGHV1-46
68,IGHV4-34
69,IGKV1-27
70,IGHV5-10-1
71,IGHV3-11
72,LCN2
73,IGHV2-5
74,IGLV1-51
75,IGKV1-16
76,IGKV1D-8
77,C1QB
78,IGHV4-28
79,IGHV1-69D
80,CXCL5
81,IGHG4
82,LYZ
83,IGHV6-1
84,IGLV1-47
85,IGKV2-30
86,IGHV3-15
87,GNLY
88,S100A12
89,MMP9
90,CHIT1
91,IGHV3-53
92,HSPA1A
93,IGHV3-66
94,IGLV4-69
95,HSPA6
96,IGHV3-43
97,IGHV1-69
98,CCL20
99,HBM
100,C1QA
101,IGLV3-10
102,IGLV7-46
103,CCL4
104,CPA3
105,IGLV6-57
106,IGHV1-3
107,G0S2
108,SELENOP
109,IGLL1
110,IGHV3-20
111,IGHV3-64D
112,CCL3
113,PTGDS
114,IGHV2-26
115,CCL4L2
116,IL1R2
117,SERPINB2
118,IGLV7-43
119,IGLV3-9
120,IGLV8-61
121,IGHV3-49
122,IGLV5-45
123,TUBB1
124,IGHV3-13
125,IGHV3-73
126,CXCL3
127,FN1
128,CAMP
129,AHSP
130,IGHV1-24
131,IGKV2D-29
132,EREG
133,PRG2
134,HSPA1B
135,IGKV2-24
136,MT1G
137,CXCL1
138,CAVIN2
139,GP9
140,LYVE1
141,CTSG
142,CXCL2
143,ALAS2
144,MS4A3
145,CXCL10
146,AREG
147,IGHV1-58
148,THBS1
149,IGLC7
150,IGLV9-49
151,TRBV7-2
152,PLTP
153,RETN
154,C1QC
155,NKG7
156,FTL
157,GNG11
158,PRTN3
159,NRGN
160,FCER1A
161,CCL3L3
162,CCL2
163,IFI27
164,XCL1
165,DNAJB1
166,ELANE
167,S100P
168,VCAM1
169,ABCA13
170,NEAT1
171,DCN
172,MPO
173,AZU1
174,CST3
175,HBG1
176,TRBV11-2
177,FCGR3B
178,MT2A
179,MGP
180,CCL22
181,SLPI
182,TRBV12-3
183,TCL1A
184,IFNG
185,MZB1
186,F13A1
187,MT1E
188,TRBV5-1
189,CA6
190,ZG16B
191,CCL5
192,VCAN
193,CXCL9
194,TRBV7-9
195,STMN1
196,TRBV4-2
197,MT1H
198,MT1X
199,PMCH
200,UBE2C
201,TRBV7-6
202,CD163
203,TRBV7-3
204,TRBV20-1
205,TRBV10-3
206,LYPD2
207,TRBV12-4
208,MYL9
209,GPNMB
210,TRBV6-6
211,INHBA
212,XCL2
213,CD74
214,IL1RN
215,IGLV5-52
216,IFITM2
217,MRC1
218,IFITM3
219,JUN
220,TOP2A
221,TRBV3-1
222,CTSK
223,GZMB
224,IL1RL1
225,GATA2
226,PDK4
227,TMEM40
228,MARCO
229,TRBV4-1
230,TRBV30
231,TRBV6-5
232,SLC25A37
233,AKAP12
234,CYP4F3
235,CMTM5
236,CLU
237,HDC
238,VSIG4
239,FBP1
240,NUPR1
241,TRBV6-1
242,HSPB1
243,TRBV13
244,FCN1
245,CSF2
246,MT-ATP8
247,NAMPT
248,PTGS2
249,HSP90AA1
250,HLA-DRA
251,RGS1
252,CSF3R
253,PLAUR
254,VPREB1
255,CENPF
256,CLEC1B
257,MT1M
258,KIT
259,HMOX1
260,ITGA2B
261,TRBV5-5
262,ACRBP
263,MS4A2
264,TRBV29-1
265,TREML1
266,IL10
267,CH25H
268,FOS
269,KLRB1
270,ARG1
271,CTSL
272,S100A11
273,TIMP1
274,NFKBIA
275,TRBV5-6
276,EGR1
277,TRBV5-4
278,TRBV14
279,CD24
280,ACP5
281,TRBV9
282,BAG3
283,HPGDS
284,CHI3L1
285,FTH1
286,TRBV19
287,SLC4A1
288,HSPH1
289,CD69
290,S100B
291,PTCRA
292,CTSS
293,MNDA
294,TRBV10-2
295,LGMN
296,FGFBP2
297,TRAV38-2DV8
298,EMP1
299,NPPC
300,IL7R
301,CMTM2
302,MEG3
303,CD9
304,ARC
305,TRBV2
306,TIMP3
307,ALPL
308,SAA1
309,HPGD
310,TRBV24-1
311,IER3
312,CTSB
313,IGHD
314,PADI4
315,PF4V1
316,FBLN1
317,GZMK
318,CDKN1C
319,ZDHHC19
320,TRBV6-2
321,PRF1
322,PROK2
323,GCA
324,RGS18
325,TNFAIP3
326,MMP19
327,TSC22D1
328,PMP22
329,HAMP
330,BASP1
331,MKI67
332,TRBV18
333,FOSB
334,SAA2
335,HLA-DRB1
336,PRKAR2B
337,GZMA
338,MMP25
339,NUSAP1
340,TNFAIP6
341,CXCR2
342,RRM2
343,TRAV21
344,OLR1
345,HK3
346,SAT1
347,BPI
348,GZMH
349,ACSL1
350,IL24
351,TRBV25-1
352,LUCAT1
353,HP
354,RPS17
355,TCL1B
356,SOX4
357,HLA-DPA1
358,FABP5
359,MT-ND4L
360,LGALS3
361,SLC40A1
362,GYPA
363,FPR1
364,BCL2A1
365,TRAV12-2
366,DEFB1
367,CA2
368,THBD
369,ZFP36
370,UTS2
371,SDS
372,IDO1
373,MYOM2
374,DOP1B
375,FOLR2
376,RGS13
377,TRAV3
378,STAB1
379,RHAG
380,HLA-DPB1
381,TRAV10
382,SNCA
383,SPON2
384,AIF1
385,APOBEC3A
386,MS4A1
387,TRBV27
388,SERPINH1
389,DUSP4
390,CCN2
391,CLEC10A
392,TNFAIP2
393,CST7
394,CMC1
395,MCEMP1
396,DUSP2
397,MS4A7
398,CALD1
399,TNF
400,IFITM1
401,ANXA3
402,JUND
403,CTSD
404,TRAV13-1
405,RARRES1
406,TYMS
407,TRAV27
408,CDC20
409,EEF1G
410,TRAV8-1
411,FCGBP
412,CPM
413,PENK
414,GYPB
415,RBP4
416,IL6
417,SPARC
418,ANPEP
419,TXNDC5
420,PCLAF
421,TRAV8-4
422,MMP1
423,GP1BA
424,LMNA
425,TRBV28
426,RPH3A
427,TRAV9-2
428,CD79A
429,RGCC
430,TRBV15
431,OLAH
432,KLRD1
433,TUBB
434,MSX1
435,SPTA1
436,NLRP3
437,MAFB
438,HMGB2
439,ATF3
440,LPL
441,COL1A2
442,PCDH9
443,MMRN1
444,CDO1
445,PTX3
446,TRAV38-1
447,LST1
448,AQP9
449,RGS16
450,ANXA1
451,HLA-DRB5
452,TRAV1-1
