,feature_name
ADAMDEC1,ADAMDEC1
ZCCHC4,ZCCHC4
WRAP53,WRAP53
CALD1,CALD1
IL7R,IL7R
CKB,CKB
ZBED2,ZBED2
CAPG,CAPG
SARDH,SARDH
NRXN1,NRXN1
IGHV3-66,IGHV3-66
EPHA2,EPHA2
SLC8A3,SLC8A3
ACTA2,ACTA2
RARRES1,RARRES1
MFSD5,MFSD5
MIR583HG,MIR583HG
WDCP,WDCP
DMPK,DMPK
MCAM,MCAM
TNFAIP2,TNFAIP2
FSIP1,FSIP1
LINC00520,LINC00520
HS3ST3B1,HS3ST3B1
SPAG6,SPAG6
GZMM,GZMM
TRAV38-1,TRAV38-1
RTKN,RTKN
ITGAX,ITGAX
RRM2,RRM2
PIGV,PIGV
SH3PXD2A,SH3PXD2A
CXCL14,CXCL14
FZD7,FZD7
TMC5,TMC5
TMEM182,TMEM182
KIRREL3,KIRREL3
LINC00265,LINC00265
MMS19,MMS19
PAPSS2,PAPSS2
GABRB2,GABRB2
DGAT2,DGAT2
METAP1,METAP1
ENPP1,ENPP1
TNNC1,TNNC1
MYO1B,MYO1B
GLB1L,GLB1L
CHRNA1,CHRNA1
MAP2,MAP2
CLEC4G,CLEC4G
FPR2,FPR2
BEST4,BEST4
OPLAH,OPLAH
ZNF253,ZNF253
RHOBTB1,RHOBTB1
CRY2,CRY2
ZNF620,ZNF620
TRBV19,TRBV19
CCDC150,CCDC150
MAPK6-DT,MAPK6-DT
EXOC6B,EXOC6B
PEX12,PEX12
HOMER2,HOMER2
MYADM,MYADM
ELL3,ELL3
ITM2C,ITM2C
CDCA7,CDCA7
MT1E,MT1E
GPR161,GPR161
GAS2,GAS2
PLEK2,PLEK2
ZNF10,ZNF10
TTC38,TTC38
TMEM255B,TMEM255B
CYTH3,CYTH3
LINC02649,LINC02649
MXD1,MXD1
PREX2,PREX2
PLD3,PLD3
TCIRG1,TCIRG1
ELOVL7,ELOVL7
PATL2,PATL2
C1QTNF3,C1QTNF3
IGHV1-69D,IGHV1-69D
S100P,S100P
LGALS1,LGALS1
KBTBD7,KBTBD7
TMEM40,TMEM40
PCGF6,PCGF6
EEF1A1,EEF1A1
HEATR9,HEATR9
KCNJ1,KCNJ1
GRM7,GRM7
ZNF563,ZNF563
SCN9A,SCN9A
ACSF2,ACSF2
NDRG4,NDRG4
CC2D2A,CC2D2A
LIPG,LIPG
ZNF662,ZNF662
CXCR2,CXCR2
SEMA6A,SEMA6A
GEMIN4,GEMIN4
TCF7L1,TCF7L1
ALS2,ALS2
WFDC2,WFDC2
STRIP2,STRIP2
IFIT2,IFIT2
GDF9,GDF9
RNASE2,RNASE2
ADGB,ADGB
UBXN10,UBXN10
PDE6G,PDE6G
ABRA,ABRA
RNF19B,RNF19B
NCAM1,NCAM1
SOX5,SOX5
HIGD2B,HIGD2B
GOLGA8H,GOLGA8H
LIX1-AS1,LIX1-AS1
LINC01565,LINC01565
PTH2R,PTH2R
IGLV1-44,IGLV1-44
ARFGAP1,ARFGAP1
ZNF574,ZNF574
LYG1,LYG1
CCNE1,CCNE1
ADHFE1,ADHFE1
PJVK,PJVK
ITGB5,ITGB5
ANKRD20A1,ANKRD20A1
LNCTAM34A,LNCTAM34A
PLAUR,PLAUR
SLA,SLA
MMRN1,MMRN1
KIF3C,KIF3C
MMP19,MMP19
DAGLB,DAGLB
CHCHD6,CHCHD6
LINC02345,LINC02345
POLE2,POLE2
SLC26A5,SLC26A5
TAL1,TAL1
LINC01415,LINC01415
CBR3,CBR3
GP6,GP6
OPRM1,OPRM1
SCT,SCT
ZNF365,ZNF365
